State/ UT Name,Operated Area (in hectare) - Marginal (below 1.00 ha.),Operated Area (in hectare) - Small (1.00 - 2.00 ha.),Operated Area (in hectare) - Semi-medium (2.00 - 4.00 ha.),Operated Area (in hectare) - Medium (4.00 - 10.00 ha.),Operated Area (in hectare) - Large (10.00 ha. & above),total_prod
Andaman & Nicobar Islands,2022,3464,8243,6911,1217,21856
Andhra Pradesh,3727131,4119946,3684946,2208770,552474,14293266
Arunachal Pradesh,11863,25914,93944,154858,97292,383872
Assam,774796,687156,817982,437372,281763,2999070
Bihar,3668728,1185695,1072969,414941,45228,6387561
Chandigarh,208,190,223,268,33,923
Chhattisgarh,952786,1179403,1347658,1152856,451344,5084047
Delhi,4800,5967,8014,8577,2270,29628
Goa,28103,17591,16770,12377,14152,88994
Gujarat,884823,2074884,2988660,2930432,1019668,9898466
Haryana,360474,462703,814473,1185436,822519,3645606
Himachal Pradesh,273270,243942,230469,156459,50510,954651
Jammu & Kashmir,416427,234531,170530,62145,11727,895361
Jharkhand,763906,590764,775052,724846,310715,3165283
Karnataka,1850946,3020002,3393036,2903687,993786,12161457
Kerala,885644,282305,159075,64063,119729,1510816
Madhya Pradesh,1915352,3466141,4510221,4544530,1399633,15835877
Maharashtra,3185931,5739050,5765450,3992777,1083852,19767061
Manipur,40200,62755,55250,13415,440,172060
Meghalaya,46196,76833,113174,47132,3923,287258
Mizoram,30168,37723,24041,8872,3985,104789
Odisha,1921842,1497752,918947,381272,132201,4852014
Puducherry,9834,4068,4138,2561,1200,21801
Punjab,101006,269082,855112,1712859,1028575,3966634
Rajasthan,1237578,2161876,3774350,6918368,7044064,21136235
Tamil Nadu,2291702,1643697,1355509,847811,349652,6488370
Tripura,139700,75809,54265,13942,1229,284945
Uttar Pradesh,7170852,4243297,3628857,2198774,379806,17621586
Uttarakhand,295556,225124,175382,94221,25401,815684
West Bengal,2890646,1556602,730577,109787,221970,5509582
