State,migrant worker
Andaman andNikobar Island,87224
Andhra Pradesh,"1,22,02,795"
Arunachal Pradesh,"2,25,768"
Assam,"29,67,253"
Bihar,"72,01,618"
Chandigarh,"2,78,187"
Chhattisgarh,"42,67,852"
Delhi,"28,13,920"
Goa,"3,00,067"
Gujarat,"91,18,394"
Haryana,"36,19,689"
Himachal Pradesh,"13,78,996"
"Jammu and Kashmir	","7,65,762"
Jharkhand,"35,27,643"
Karnataka,"82,47,920"
Kerala,"28,12,441"
Madhya Pradesh,"1,01,25,610"
Maharashtra,"2,06,85,108"
Manipur,"2,05,885"
Meghalaya,"1,99,730"
Mizoram,"1,78,687"
Odisha,"46,28,673"
Puducherry,"1,65,681"
Punjab,"35,43,444"
Rajasthan,"91,38,707"
Tamilnadu,"77,34,609"
Tripura,"4,02,593"
Uttar Pradesh,"1,41,07,361"
Uttarakhand,"15,22,759"
West Bengal,"96,57,360"
